county,fips,state,lat,lng
Mahoning County,39099,Ohio,41.0146,-80.7763
Montgomery County,1101,Alabama,32.2203,-86.2076
Brazos County,48041,Texas,30.6608,-96.3024
Linn County,19113,Iowa,42.079,-91.599
Jefferson County,29099,Missouri,38.2611,-90.5377
Whatcom County,53073,Washington,48.8258,-121.7196
Canyon County,16027,Idaho,43.6251,-116.7093
Butte County,6007,California,39.6669,-121.6007
Hays County,48209,Texas,30.0579,-98.0312
Gaston County,37071,North Carolina,35.2944,-81.1803
Berkeley County,45015,South Carolina,33.1973,-79.9522
Jackson County,41029,Oregon,42.4322,-122.7285
Yolo County,6113,California,38.6866,-121.9016
Baldwin County,1003,Alabama,30.7276,-87.7226
Do??a Ana County,35013,New Mexico,32.3526,-106.8327
Shelby County,1117,Alabama,33.2643,-86.6607
Clay County,12019,Florida,29.9831,-81.8579
Barnstable County,25001,Massachusetts,41.7244,-70.2904
Yuma County,4027,Arizona,32.7695,-113.9057
Cabarrus County,37025,North Carolina,35.3868,-80.5519
Mohave County,4015,Arizona,35.7041,-113.7579
Lackawanna County,42069,Pennsylvania,41.4367,-75.6093
Niagara County,36063,New York,43.2001,-78.7453
Champaign County,17019,Illinois,40.1401,-88.1992
Tuscaloosa County,1125,Alabama,33.2896,-87.5251
Okaloosa County,12091,Florida,30.6913,-86.5917
Washington County,42125,Pennsylvania,40.1894,-80.2483
Harrison County,28047,Mississippi,30.5122,-89.1161
York County,23031,Maine,43.4782,-70.7144
Clermont County,39025,Ohio,39.0476,-84.1517
Delaware County,39041,Ohio,40.2784,-83.0049
Elkhart County,18039,Indiana,41.5974,-85.8587
Montgomery County,47125,Tennessee,36.4969,-87.3829
Johnston County,37101,North Carolina,35.5178,-78.3657
Calcasieu Parish,22019,Louisiana,30.2293,-93.358
Richmond County,13245,Georgia,33.3596,-82.0736
Hall County,13139,Georgia,34.3169,-83.8197
Hawaii County,15001,Hawaii,19.5985,-155.5185
Benton County,53005,Washington,46.2398,-119.5112
Anderson County,45007,South Carolina,34.5193,-82.6378
St. Louis County,27137,Minnesota,47.6032,-92.4707
Trumbull County,39155,Ohio,41.3172,-80.7611
Onslow County,37133,North Carolina,34.7321,-77.4321
Sangamon County,17167,Illinois,39.7582,-89.6589
Racine County,55101,Wisconsin,42.7475,-88.0612
Muscogee County,13215,Georgia,32.51,-84.8771
Tippecanoe County,18157,Indiana,40.3886,-86.8941
Broome County,36007,New York,42.1602,-75.8196
Deschutes County,41017,Oregon,43.915,-121.2282
Minnehaha County,46099,South Dakota,43.6742,-96.7915
Saginaw County,26145,Michigan,43.335,-84.0532
Livingston County,26093,Michigan,42.6029,-83.9115
Hernando County,12053,Florida,28.5535,-82.4245
El Dorado County,6017,California,38.7787,-120.5247
Beaufort County,45013,South Carolina,32.3855,-80.7302
Butler County,42019,Pennsylvania,40.912,-79.9133
Sumner County,47165,Tennessee,36.4694,-86.4604
Outagamie County,55087,Wisconsin,44.4161,-88.4649
Charlotte County,12015,Florida,26.9055,-81.9123
Sarpy County,31153,Nebraska,41.1129,-96.1119
DeSoto County,28033,Mississippi,34.8753,-89.9912
Vanderburgh County,18163,Indiana,38.0249,-87.5859
Litchfield County,9005,Connecticut,41.7925,-73.2453
Peoria County,17143,Illinois,40.788,-89.76
Kanawha County,54039,West Virginia,38.3366,-81.5281
Imperial County,6025,California,33.0395,-115.3653
Bay County,12005,Florida,30.2652,-85.6203
Pitt County,37147,North Carolina,35.5933,-77.3745
Cass County,38017,North Dakota,46.933,-97.248
Boone County,29019,Missouri,38.9906,-92.3097
Santa Rosa County,12113,Florida,30.7004,-87.0219
Newport News City,51700,Virginia,37.1051,-76.5185
Ellis County,48139,Texas,32.3484,-96.7946
Shasta County,6089,California,40.7637,-122.0405
Kent County,10001,Delaware,39.086,-75.5686
Medina County,39103,Ohio,41.1176,-81.8997
Iredell County,37097,North Carolina,35.807,-80.8734
Ulster County,36111,New York,41.8881,-74.2586
Shawnee County,20177,Kansas,39.0415,-95.7565
Licking County,39089,Ohio,40.0916,-82.4831
Muskegon County,26121,Michigan,43.2912,-86.152
Scott County,19163,Iowa,41.6371,-90.6233
McLean County,17113,Illinois,40.4909,-88.8473
Washington County,49053,Utah,37.2804,-113.5048
Johnson County,48251,Texas,32.379,-97.3665
Midland County,48329,Texas,31.8691,-102.0316
Winnebago County,55139,Wisconsin,44.0689,-88.6447
Aiken County,45003,South Carolina,33.5443,-81.6347
Porter County,18127,Indiana,41.4603,-87.0671
Kenosha County,55059,Wisconsin,42.5769,-88.0424
Monroe County,42089,Pennsylvania,41.0581,-75.3395
Carroll County,24013,Maryland,39.5629,-77.0225
Greene County,39057,Ohio,39.6915,-83.8899
Pueblo County,8101,Colorado,38.1735,-104.5127
Davidson County,37057,North Carolina,35.7933,-80.2128
Hendricks County,18063,Indiana,39.7695,-86.51
Maui County,15009,Hawaii,20.8596,-156.5649
Kenton County,21117,Kentucky,38.9334,-84.5333
Alamance County,37001,North Carolina,36.0437,-79.3994
Wyandotte County,20209,Kansas,39.1146,-94.7646
Beaver County,42007,Pennsylvania,40.6823,-80.3493
Paulding County,13223,Georgia,33.9206,-84.8673
Kent County,44003,Rhode Island,41.6721,-71.5931
Lee County,1081,Alabama,32.6011,-85.3555
Chittenden County,50007,Vermont,44.4608,-73.0808
Guadalupe County,48187,Texas,29.583,-97.9486
Middlesex County,9007,Connecticut,41.4632,-72.5351
Rock County,55105,Wisconsin,42.6712,-89.0716
Portage County,39133,Ohio,41.1677,-81.1974
Centre County,42027,Pennsylvania,40.9193,-77.82
Ector County,48135,Texas,31.8692,-102.5427
Kootenai County,16055,Idaho,47.6744,-116.7018
Charles County,24017,Maryland,38.5073,-76.9922
Hampshire County,25015,Massachusetts,42.3402,-72.6638
Dorchester County,45035,South Carolina,33.0793,-80.4067
Martin County,12085,Florida,27.0775,-80.4315
Yellowstone County,30111,Montana,45.9373,-108.2744
Stearns County,27145,Minnesota,45.5521,-94.613
St. Clair County,26147,Michigan,42.9341,-82.6806
Rensselaer County,36083,New York,42.7111,-73.5097
Catawba County,37035,North Carolina,35.662,-81.2151
Alexandria City,51510,Virginia,38.8185,-77.0861
Jackson County,26075,Michigan,42.2485,-84.4234
Sullivan County,47163,Tennessee,36.5129,-82.3042
Indian River County,12061,Florida,27.6943,-80.6062
Olmsted County,27109,Minnesota,44.0038,-92.4018
Fairfield County,39045,Ohio,39.7516,-82.6306
Johnson County,18081,Indiana,39.49,-86.1016
Madera County,6039,California,37.2181,-119.7626
Houston County,13153,Georgia,32.459,-83.6662
Schenectady County,36093,New York,42.8181,-74.0586
Franklin County,42055,Pennsylvania,39.9274,-77.7213
Ouachita Parish,22073,Louisiana,32.4784,-92.1549
Columbia County,13073,Georgia,33.5441,-82.2641
Rankin County,28121,Mississippi,32.2641,-89.9458
Berrien County,26021,Michigan,41.9547,-86.4123
Bibb County,13021,Georgia,32.8065,-83.6974
Mesa County,8077,Colorado,39.0183,-108.4665
Penobscot County,23019,Maine,45.4006,-68.6495
Kings County,6031,California,36.0753,-119.8155
